month,surface_air mean_temp,mean_sunshine_hrs,mean_realtive humidity,total_rainfall,no_of_rainy_days,max_temperature,temp_category
Jul-96,28.3,0.858548084,-0.192912907,-0.12106921,-0.803978698,-0.093107153,1
Aug-96,27.4,-0.55149218,0.25941394,0.725726673,0.811109329,-0.337614634,1
Sep-96,27.7,-0.717379269,-0.102447538,1.065854884,0.811109329,-0.215360894,1
Oct-96,27.5,-1.132096994,0.138793448,1.092289719,1.012995333,-0.337614634,1
Nov-96,27.3,-1.049153449,0.289569063,0.036658639,0.407337323,0.273654068,1
Dec-96,26.6,-0.966209904,0.108638324,0.083360181,0.205451319,-0.459868375,0
Jan-97,27.1,1.687983534,-1.580048572,-1.415494967,-2.217180722,-0.093107153,1
Feb-97,27.4,-0.634435724,-0.524619262,-0.622449915,-1.207750705,0.395907809,1
Mar-97,28.1,1.107378719,-0.88648074,-1.248955506,-0.803978698,1.007176511,1
Apr-97,28.1,-0.05383091,0.048328078,-0.507898963,-0.400206691,1.251683993,1
May-97,29.3,0.858548084,-1.45942808,-1.184630741,-1.611522711,2.107460176,1
Jun-97,29.3,1.356209354,-1.760979311,-0.855957625,-0.400206691,1.618445214,1
Jul-97,28.8,0.692660994,-1.821289557,-1.38729781,-1.005864701,0.76266903,1
Aug-97,28.8,0.029112635,-1.308652464,-0.788108215,-1.005864701,0.76266903,1
Sep-97,28.8,-2.044475988,-1.670513942,-1.277152664,-2.217180722,0.518161549,1
Oct-97,28.2,-2.044475988,-0.464309015,-0.860363431,-1.207750705,1.373937733,1
Nov-97,27.8,-0.219718,0.078483201,-0.156315657,-0.198320688,0.395907809,1
Dec-97,27.3,-0.302661545,0.83236128,1.549612365,1.820539346,-0.582122116,1
Jan-98,28,1.439152899,0.199103694,0.817367434,-0.198320688,0.273654068,1
Feb-98,28.9,2.683306073,-1.278497341,-1.264816407,-1.813408715,1.496191474,1
Mar-98,29.5,1.605039989,-1.429272956,-1.03307102,-1.409636708,3.207743841,1
Apr-98,29.2,0.858548084,-0.22306803,0.102745726,-0.198320688,1.740698955,1
May-98,29.4,0.194999725,-0.072292414,1.716151826,0.811109329,1.740698955,1
Jun-98,28.6,-0.302661545,-0.132602661,0.200554616,0.205451319,1.618445214,1
Jul-98,28.1,-0.468548635,-0.22306803,0.732775962,0.811109329,0.273654068,1
Aug-98,27.5,-0.883266359,0.862516403,0.167070492,0.811109329,-0.704375856,1
Sep-98,27.9,-0.966209904,0.470499802,0.72396435,0.609223326,-0.337614634,1
Oct-98,28,-0.55149218,-0.072292414,0.411152135,1.214881336,1.373937733,1
Nov-98,27.9,-0.883266359,-0.192912907,-0.606589014,-0.602092694,0.884922771,1
Dec-98,26.6,-2.127419533,1.797325221,2.532107068,1.618653343,-0.948883337,0
Jan-99,26.6,-1.463871174,1.737014975,0.157377719,1.012995333,-0.704375856,0
Feb-99,27.2,0.858548084,-0.042137291,-0.957291159,-1.005864701,-0.459868375,1
Mar-99,27.1,-1.132096994,1.49577399,0.047232573,0.407337323,-0.459868375,1
Apr-99,28.3,0.11205618,0.018172955,-0.771366153,0.003565316,1.251683993,1
May-99,28,0.029112635,0.560965172,-0.166889591,-0.198320688,1.007176511,1
Jun-99,28.2,0.27794327,-0.192912907,-0.640073139,-0.198320688,0.395907809,1
Jul-99,27.8,0.941491629,0.048328078,0.434943487,-0.602092694,-0.582122116,1
Aug-99,27.5,0.029112635,0.470499802,0.246374997,-0.198320688,-0.582122116,1
Sep-99,27.9,0.692660994,-0.253223153,-0.441811876,-0.198320688,0.64041529,1
Oct-99,27.2,-0.800322814,0.621275418,0.255186609,1.214881336,-1.071137078,1
Nov-99,27.3,-0.800322814,0.560965172,0.576810435,1.012995333,0.029146587,1
Dec-99,26.8,-1.297984084,0.83236128,1.449159992,0.609223326,-0.459868375,0
Jan-00,26.3,-1.380927629,1.314843251,0.873761749,0.003565316,-1.926913262,0
Feb-00,26.6,0.11205618,1.194222758,0.544207472,0.811109329,-1.193390818,0
Mar-00,27.2,0.11205618,0.983136896,0.548613278,0.205451319,0.76266903,1
Apr-00,27.5,-0.302661545,0.92282665,1.194504414,1.214881336,0.029146587,1
May-00,28.6,0.941491629,-0.042137291,-0.698229776,-0.803978698,1.007176511,1
Jun-00,27.6,-0.883266359,0.530810049,-0.163364946,0.407337323,-0.093107153,1
Jul-00,28.1,0.692660994,0.018172955,-0.52816567,-0.400206691,-0.337614634,1
Aug-00,27.5,-0.468548635,0.380034433,-0.551075861,0.811109329,-0.093107153,1
Sep-00,28,0.44383036,-0.102447538,-0.836572079,-0.400206691,1.129430252,1
Oct-00,27.8,-1.380927629,-0.132602661,-0.485869934,0.003565316,0.884922771,1
Nov-00,27.3,-1.629758264,1.375153497,1.84744484,1.41676734,1.007176511,1
Dec-00,27,-1.215040539,1.525929113,0.528346571,0.811109329,-0.948883337,0
1-Jan,26.5,-1.049153449,1.465618866,2.200790469,1.41676734,-0.704375856,0
1-Feb,27,-0.717379269,0.319724187,-0.788108215,-0.602092694,-1.193390818,0
1-Mar,27.5,-0.219718,0.591120295,1.068498367,1.214881336,0.395907809,1
1-Apr,27.7,-0.302661545,1.043447142,0.240206869,0.811109329,0.151400328,1
