month,surface_air mean_temp,mean_sunshine_hrs,mean_realtive humidity,total_rainfall,no_of_rainy_days,max_temperature,temp_category
14-Jul,28.7,5.5,78.3,148.6,15,33.2,1
14-Aug,27.7,4.5,79.7,241,20,31.9,1
14-Sep,28.5,7,75.6,83.6,9,33.2,1
14-Oct,28.4,6,77,120,10,34.1,1
14-Nov,27.5,5.4,82.4,250.8,23,33.4,1
14-Dec,27,3.7,82.6,245.6,17,33.6,0
15-Jan,26.9,7.4,77.6,79.6,6,32.4,0
15-Feb,27,7.3,75.4,18.8,6,33.6,0
15-Mar,28.2,7.3,75.8,84.4,5,34.4,1
15-Apr,28.6,7.2,77.1,73.2,13,34.4,1
15-May,28.7,5.8,78.9,89,12,34.2,1
15-Jun,29,6.7,75.8,95.8,10,34.3,1
15-Jul,29.1,7.1,74.9,116.8,13,32.7,1
15-Aug,28.4,6.1,76.7,185.8,11,33.1,1
15-Sep,28.7,4.3,75,61.6,8,33.2,1
15-Oct,28.7,4.7,75.4,87.2,9,33.6,1
15-Nov,28,4.8,79.1,72.6,13,33.6,1
15-Dec,27.7,5.3,81.1,302.3,19,33.1,1
16-Jan,28.3,7.2,79.6,126.6,15,32.8,1
16-Feb,27.8,6.5,78.8,186,10,32.7,1
16-Mar,29,8,74.7,6.2,6,34.1,1
16-Apr,29.4,7,75.6,89.8,14,35,1
16-May,29.3,6.2,77.4,193.8,12,34.6,1
16-Jun,28.5,5.4,77.7,162.8,13,33.4,1
16-Jul,28.4,6.3,77.3,168.6,20,33.4,1
16-Aug,28.9,6.7,74,139.2,15,33.8,1
16-Sep,28.3,5.5,73.9,118.9,15,34.4,1
16-Oct,28.3,4.6,72,181,16,34.6,1
16-Nov,27.4,3.5,77.6,290.2,20,32.6,1
16-Dec,27.4,5.1,72.8,292.6,23,33.6,1
17-Jan,26.9,4.8,84.8,197.6,21,33.7,0
17-Feb,26.9,7.1,83.2,158.4,15,32.4,0
17-Mar,27.4,6.1,82.5,136.2,11,33.3,1
17-Apr,27.8,5.3,83.5,208.6,21,34.4,1
17-May,28.5,5.9,82.8,190,15,32.8,1
17-Jun,28.5,6.3,80.2,106,10,33,1
17-Jul,28.3,7,79.6,79.6,9,32.4,1
17-Aug,28.1,6.1,79.9,84.2,18,33,1
17-Sep,28,5.7,81,124.4,19,32.4,1
17-Oct,27.9,5.5,82.5,120.8,18,34.6,1
17-Nov,27.1,4.2,86.3,268.6,24,32.5,1
17-Dec,27,5.6,85.2,371.2,23,33.5,0
18-Jan,26.1,4.1,86.6,287,25,33.2,0
18-Feb,27.2,8,77.2,14.8,5,33.5,1
18-Mar,28,6.4,78.4,44.6,10,34.2,1
18-Apr,28.5,6.8,78.5,61.2,14,35,1
18-May,28.7,5.8,79,132.2,19,34.2,1
18-Jun,28.4,4.1,79.3,182.6,17,33.4,1
18-Jul,28.5,6.1,77.7,143.2,10,33,1
18-Aug,28.5,6.7,77,121.6,11,33.2,1
18-Sep,28,6,77.1,144.4,13,33,1
18-Oct,27.9,6.1,79.7,234.4,18,34.5,1
18-Nov,27.3,3.8,83.2,169.6,27,33.4,1
18-Dec,27.6,5.1,81.5,172.6,19,33.8,1
19-Jan,28,7.1,75.6,63.6,9,33.4,1
19-Feb,28.2,9.2,74.1,31.6,5,34.1,1
19-Mar,28.7,8.3,72.3,72.2,6,34.8,1
19-Apr,28.6,5.9,77.6,174.8,9,34.5,1
19-May,29.3,7,79.2,69,13,34.7,1
19-Jun,28.4,5.3,79.5,173.8,16,33,1
19-Jul,29,7.5,75.2,12.2,8,33.4,1
19-Aug,29.1,7.6,72.1,11.8,6,34,1
19-Sep,29,6.7,73,22.8,4,34.3,1
